Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
Like is getting crazy I dont want to be like that I want an happy life :(,61.13,1.24,19.7,0.86,15.54,2.16
"""I can't breath 😰""",7.21,0.54,2.4,0.54,3.15,1.14
I’m literally tearing up this is so sad,2.39,0.06,0.57,0.06,0.83,0.17
I've never imagined there could be worse than corona this year but look,0.16,0.0,0.02,0.0,0.04,0.0
It shouldn't be like this black lives matter R.i.p floyd,3.76,0.14,1.01,0.14,1.4,0.35
I CAN’T BREATHE,8.04,0.65,2.74,0.66,3.48,1.31
"me:im safe having the police 
me after seeing the incident:well  there goes my last hope also hope those cops got what they deserved and i mean death penalty",2.39,0.05,0.56,0.04,0.75,0.14
May he rest in peace <3,1.46,0.02,0.3,0.02,0.45,0.07
Officer still kept his knee on his neck even after a code 3 emergency call was made. That tells you enough about the the officers train of thought.,0.72,0.01,0.13,0.01,0.22,0.02
those cops don’t understand what I can’t breathe means,6.12,0.39,2.02,0.41,2.61,0.88
I completely had a shattered heart when he said “please...please man I can’t breath!”,2.43,0.07,0.63,0.06,0.9,0.19
I am crying ):,6.59,0.46,2.15,0.45,2.81,0.98
"I’m having a hard time finding the video WP made on Tony Timpa. 
Anybody have the link?",0.48,0.0,0.08,0.0,0.14,0.01
"I can’t believe what I’m seeing. 8 MINUTES. Do you understand how long that is??? He was already handcuffed, wasn’t benign violent and was surrounded by 4-5 officers!!?",3.34,0.13,0.97,0.12,1.32,0.34
"Why did I watch this 
Heartbreaking",1.22,0.01,0.24,0.01,0.38,0.06
Did anyone else notice he had hair before they kneeled on him then hes bald,0.71,0.01,0.13,0.01,0.21,0.02
“Top ten funniest anime deaths”,5.85,0.35,1.83,0.35,2.42,0.77
im crying when he said please please man i cant breathe,0.56,0.0,0.09,0.0,0.15,0.01
He begged them for water.There's a saying that you don't deny water even to your enemies...and here was this helpless man begging for his life 😭💔💔,3.13,0.11,0.89,0.1,1.22,0.3
In his final moments he had meth in his system,2.53,0.06,0.63,0.06,0.91,0.2
it's a shame the body camera footage has to be censored,7.91,0.19,2.03,0.17,2.35,0.46
i feel bad for him he didn't deserve all this he was a innocent man he told the officer to stop he can't breathe but they ignored him if i was there i would push the hell of that guy BLACK LIFES STILL MATTER now cops aren't heroes anymore there murders for his death that they caused cops aren't like this there supposed to be heroes not murders WTF,0.67,0.0,0.09,0.0,0.1,0.01
2020 in the US is absolute hell,56.07,0.72,15.42,0.41,14.09,1.26
"When someone says ""I can't breathe"", your immediate response is to back off, no?",11.15,0.51,3.06,0.46,3.45,1.0
I can’t breath” Made me cry.,5.2,0.29,1.64,0.29,2.21,0.72
Someone care to share why there appears to be no EMT’s in that ambulance - only police ?,1.05,0.01,0.2,0.01,0.32,0.04
R.I.P floyed.have a great life in heaven,2.92,0.08,0.72,0.08,1.01,0.23
Everyone remember the name George Floyd🥀,2.35,0.06,0.58,0.06,0.84,0.18
when a grown man starts calling his mother then you know his life is in danger,7.22,0.08,1.41,0.07,1.49,0.23
"Bro the bystanders are more smart then those cops, they knew he couldn’t move but if they tried helping they would get arrested",1.36,0.02,0.29,0.02,0.44,0.07
Goodbye everyone from me with everything that happened to me 😢😔,8.39,0.48,2.61,0.47,3.06,1.0
I've been pinned by cops in cuffs where was blm for me.,2.84,0.08,0.72,0.08,1.02,0.23
Well done in putting all this timeline together! Excellent work!,1.75,0.03,0.41,0.03,0.61,0.11
Those bystanders will also be haunted for life. Having watched a man murdered before their very eyes. They tried speaking up 😥,6.07,0.38,2.0,0.38,2.5,0.79
Angels that saying to let him ❤,1.69,0.03,0.37,0.03,0.55,0.1
"2:35 George has a head of hair

4:50 George is bald???????????????? ",30.38,1.43,8.99,1.27,9.28,2.66
Omg why would they do this 💔🥺😭😭,4.06,0.17,1.14,0.16,1.55,0.41
he was saying mama even though his mum was dead,6.41,0.24,1.77,0.24,2.21,0.58
2020 is literally the worst year of my life time,2.94,0.07,0.7,0.07,0.93,0.2
"I was crying uncontrollably when he said ""I can't breathe""",7.1,0.52,2.34,0.53,3.01,1.09
Rip I’m hurt 😞,12.36,0.59,3.5,0.56,4.16,1.21
7:50pm but the sky is still bright?,2.64,0.07,0.67,0.07,0.93,0.2
Please I can't breathe🥺🥺,2.5,0.06,0.59,0.06,0.86,0.18
"No one should have to beg for their life like that, I could not imagine the terror he went through being suffocated to death. Consider how much time it takes for someone to die after their airway's been blocked to the point of unconsciousness, that officer was fully conscious and aware of what he was doing or either was being possessed by evil. Truly terrifying.",0.56,0.0,0.1,0.0,0.14,0.01
"After watching.police could do this to me, my friend, my family . It is brutality.",0.81,0.01,0.15,0.01,0.23,0.03
2:30,8.66,0.75,3.0,0.76,3.78,1.46
George Floyd & Tony Timpa RIP!!!,3.54,0.13,0.99,0.13,1.37,0.35
What police car’s  plaque sais POLICE like wtf,11.44,0.61,3.23,0.57,4.1,1.21
"Police officers couldn't tell that he's dead but some kids just by looking at him can tell, i mean who trained those officers. They did it intentionally.",85.26,1.84,50.27,0.84,32.54,3.06
"My heart goes out to the family. God bless you. My condolences 
Rest in peace George floyd",15.88,1.16,5.05,1.08,6.1,2.18
I'm glad that riot is happening,2.79,0.08,0.71,0.08,1.01,0.22
Wow OH 😭,11.27,1.05,3.89,1.05,4.7,1.92
He was calling for his mama😔😢,5.13,0.27,1.56,0.27,2.08,0.63
You can’t accidentally do this,7.97,0.66,2.74,0.66,3.51,1.32
I used to be an adventurer like you untill i caught a knee to the kneck,6.29,0.19,1.55,0.19,2.09,0.52
"Where's the video of the officers in handcuffs bruh, something feels suspicious here idk",0.64,0.0,0.11,0.0,0.19,0.02
BLM✊🏻✊🏼✊🏽✊🏾✊🏿,8.66,0.75,3.0,0.76,3.78,1.46
"I would love to get on the phone with these police officers that did it.
And literally yell at them.",1.57,0.03,0.36,0.03,0.54,0.1
Even after floyd was passed out he still had his knee on his neck? That’s disgusting.,2.75,0.07,0.69,0.07,0.95,0.21
Why why why I’m so mad 😡 I’m crying 😭,3.82,0.13,1.01,0.14,1.38,0.34
Why dont the other officers have their. Ody cameras on like the officer watching floyds friends?,2.0,0.04,0.48,0.04,0.71,0.14
>:o >:O,11.8,1.04,3.98,1.01,4.7,1.87
OH if i could Just do a camera then i Will turn IT on And show you my tears7,4.61,0.07,0.88,0.06,1.26,0.2
This shows how cruel people can be for no legitimate reason.,1.16,0.01,0.23,0.01,0.35,0.05
I live in canada and I'm like why does our southern neighbor do this,4.05,0.17,1.17,0.17,1.61,0.46
His voice 💔,6.5,0.43,2.1,0.43,2.74,0.93
"4:15 nice potato cam

This is 2020? or 1990?",10.1,0.65,3.29,0.67,3.79,1.36
Love George Floyd,3.37,0.11,0.92,0.12,1.29,0.32
The dude was already in handcuffs wtf?!  Police brutality at it's finest.,1.61,0.03,0.37,0.03,0.54,0.09
I screen recorded the full video before it got token down I don't know what to do,2.76,0.08,0.73,0.08,1.04,0.25
I am SPEECHLESs first time watching the video all I can say is FTP,4.88,0.24,1.55,0.25,1.93,0.61
"Rest in peace man, hope you were happy with the life you were given.",5.24,0.26,1.59,0.27,2.09,0.6
"""Master I cant breathe""",5.93,0.38,1.87,0.36,2.5,0.82
"He called out to his Mom .... who died 2 years ago on this same day😭😭😭😭😭RIP
Handcuffed.
Face Down.
Knee on his neck.",58.0,1.31,21.96,0.8,17.37,2.43
حسبنا الله ونعم الوكيل 😔😔😔😔,8.66,0.75,3.0,0.76,3.78,1.46
why did they call an ambulance but continue to sit on his neck?!,1.74,0.03,0.38,0.03,0.57,0.1
Homeboy dropped his bag of dope at 2:24,3.14,0.1,0.84,0.1,1.19,0.3
He had a heart attack and they were healing on his neck,5.42,0.33,1.72,0.32,2.27,0.72
"He said ""I can't breathe please"" The officers kept kneeling him while everyone is recording they knew that kneeling him down was dangerous he was already in handcuffs do you have to kneel him to? Police knew nothing but to kneel him until he is dead this is not police this is a crime. R.I.P to all legends that died :(",0.48,0.0,0.09,0.0,0.15,0.01
Wow i i im crying wow,3.41,0.12,0.94,0.12,1.31,0.35
"this is said. i am trying to read the information on police brutality, on the death of george floyd and on racism",0.91,0.01,0.18,0.01,0.29,0.04
"2:22 It looked like George dropped Coke or something on the ground at the bottom right, later he leans towards his left to hide it",0.61,0.0,0.11,0.0,0.19,0.02
George floyd RIP,4.42,0.2,1.3,0.2,1.77,0.5
The fact that they upped to code 3 and he's still on his neck is even more incriminating.,4.18,0.16,1.16,0.17,1.55,0.43
"Why are the other cops just standing there like

👁🐽👁",1.28,0.02,0.25,0.02,0.4,0.06
"those police.....


 curse u dude like bruh",18.16,1.71,6.11,1.62,7.24,2.94
he will always live on in our hearts R.I.P,4.61,0.24,1.39,0.23,1.9,0.56
Upside down cross on East 3rd street wow,22.17,0.63,5.87,0.56,5.75,1.51
Cellphone cameras. Thanks to technology to uncover that type of incidents.,0.66,0.0,0.12,0.0,0.2,0.02
AND THEY CUT ITVLMDAIAJLS,10.31,0.8,3.44,0.81,4.15,1.53
"im from malaysia,i love flooyd",6.86,0.27,1.97,0.29,2.24,0.69
"In google I was trying to get info about the police killer,he was sent to prison for about 3 months,he was found in a store and the footage was recorded by a girl,search it on youtube",2.25,0.03,0.46,0.02,0.61,0.1
@5:58 or around there... Why do we not see those bystanders standing there filming? Where did the crowd of ppl go??,1.05,0.01,0.18,0.01,0.27,0.03
"Man... This makes my blood boil. Rest in peace, George Floyd.",1.99,0.04,0.47,0.04,0.7,0.13
THIS IS JUST SAD🥺😭😭😭😭😭😭😭😭 I WILL SAVE THE BLACK PERSON THE NEXT TIME THIS VIOLENT THING HAPPENS,2.13,0.04,0.48,0.04,0.69,0.13
"Thank you, 5:26 - 5:40 onlookers, such bravery to get involved and question what was going on.",2.29,0.04,0.52,0.05,0.75,0.15
George floyd ‘choked in the gulag’ just like he choked in real life,10.93,0.8,3.48,0.8,4.14,1.54
They call an ambulance for something they caused? I’m confused,3.07,0.11,0.86,0.1,1.21,0.29
That man really shouted for his life with all the power he had left. Hope he's in a better place now,1.44,0.02,0.29,0.02,0.43,0.06
One prosonomasia or antonomasia for each of the policeman involved in the killing of george floyd could be the Keystone conunstable.,1.05,0.01,0.21,0.01,0.32,0.05
Where we the masks in the middle of lockup -20?,2.66,0.07,0.65,0.07,0.93,0.2
"Oh god... I just got informed of this from a video... I.. Never knew I could have a new hatred for police.. Huh... This is sad..
(Especially the comment By @Garvius ...)",0.87,0.01,0.19,0.01,0.29,0.04
"4:44 Please, please, please, I can’t breathe. Please man. Those words haunt me. The poor dude just wanted him to get off his damn neck. He was begging. How no-hearted are cops these days.",3.09,0.0,0.23,0.0,0.27,0.0
"""Please man"" 

That was absolutely heartbreaking. I can't believe someone could have such little regard for human life... Prayers for the Floyd family",0.3,0.0,0.04,0.0,0.08,0.01
Rip😭🥺😭,8.66,0.75,3.0,0.76,3.78,1.46
HELP CANT BREATHE AGHUUGHHUAHHGUHAHAGUAUAGAHHAUAH,1.3,0.02,0.26,0.02,0.41,0.06
Poor guy 😭😭,7.46,0.46,2.37,0.48,3.02,1.01
Bye George Floyd :(,1.08,0.01,0.21,0.01,0.33,0.04
"These shady cops are covering up the fact that he HAD NO PULSE ON THE SCENE, HE DID NOT DIE IN HOSPITAL.",9.34,0.25,2.45,0.24,2.45,0.62
Open season I'm holding court on the streets they got kids they want go home to so dont we open season on me guess what you too,2.35,0.02,0.39,0.01,0.61,0.06
"When I was little, I had a dream of becoming a police officer.
No way am i gonna continue that dream.",7.61,0.63,2.56,0.61,3.29,1.24
"Murderers.  Such a tragic way to go.
May justice be served.",2.99,0.1,0.83,0.1,1.17,0.28
We need justice for Mr. Floyd!,4.17,0.09,0.97,0.09,1.25,0.26
They rlly thought calling the ambulance was gonna change the fact that they killed him,5.44,0.3,1.65,0.3,2.21,0.7
"this lacks bravery, there is clearly video of the lift onto the gurney when he was already clearly dead. you shouldve shown that powerful imagery.",0.83,0.0,0.13,0.0,0.19,0.02
I keep asking myself how it is physically possible to talk when you are supposed to be unable to breathe.,0.66,0.0,0.12,0.0,0.2,0.02
I wish I could go back in time and tell him what will happen in the future and stop him from going out that day :(,2.48,0.07,0.65,0.07,0.92,0.21
😥,8.38,0.7,2.88,0.71,3.64,1.37
Crazy how someone lost his life for a 20 dollar bill.,6.94,0.49,2.26,0.49,2.97,1.04
😭😭,9.55,0.9,3.39,0.91,4.27,1.72
✊🏿✊🏿✊🏿,8.66,0.75,3.0,0.76,3.78,1.46
THIS IS OUTRAGEOUS,3.18,0.09,0.8,0.09,1.11,0.25
The bodycam shows a fentanyl pill in hid mouth and he turns away and it's gone l. That's why he died. He overdosed.,2.58,0.06,0.63,0.06,0.9,0.19
Screaming “i cant breathe“ and adding more pressure?!?! That is discusting.. I have no words.. Rip 😭❤️,4.15,0.17,1.18,0.18,1.63,0.46
😥😥😥😥😥😥😥😥😥❤❤❤❤❤❤,8.66,0.75,3.0,0.76,3.78,1.46
DID ANY MEDIA CONTACTED ARACELI HENRIQUEZ THE WOMAN BEAT UP BY GEORGE? NO OH COURSE NOT IT DOESNT FIT THEIR AGENDA,1.27,0.02,0.26,0.02,0.4,0.06
My eyes went from this -.- to this O.O,7.56,0.53,2.44,0.53,2.97,1.08
And now that the full video is released you all look like fools :),2.71,0.07,0.66,0.07,0.93,0.2
He still on his neck and he heard them said : He's not f-ing moving,4.46,0.22,1.33,0.2,1.78,0.52
😭😭😭😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,8.66,0.75,3.0,0.76,3.78,1.46
It’s so sad that George Floyd died,63.32,1.49,20.24,0.86,19.97,2.37
I want to hear what the officers have to say for themselves. I mean. This was just ridiculous.,0.45,0.0,0.08,0.0,0.13,0.01
It’s cup foods fault,2.52,0.06,0.61,0.06,0.88,0.19
✊🏻WE✊🏼 ARE ✊🏽 IN ✊🏾 THIS ✊🏿 TOGETHER✊,5.56,0.31,1.71,0.32,2.27,0.7
😂,8.66,0.75,3.0,0.76,3.78,1.46
It is just me? Or is it getting crazier out there?,2.34,0.05,0.54,0.05,0.79,0.16
Your video explained very well.💯,5.11,0.27,1.58,0.28,2.09,0.67
"Guys, clearly there's something fishy and suspicious",5.39,0.32,1.69,0.32,2.26,0.73
What makes me upset that the court wouldn't have done anything if this wasnt so viral,0.59,0.0,0.1,0.0,0.17,0.02
✊✊,8.66,0.75,3.0,0.76,3.78,1.46
The Washington Post reports facts but not all the facts .   The released police cam footage from all officers show a slightly different story.   Which is why we need to view ALL the details and not listen to the CNN or Fox News spin.,2.65,0.01,0.44,0.01,0.45,0.04
"I wish one of the officers were able to stop Chauvin...
R.I.P. George Floyd 1973 - 2020",94.96,2.44,69.37,0.67,53.35,2.95
"Also, code 2 is lights, sirens at intersections only.",4.33,0.17,1.2,0.18,1.65,0.45
"His last words were ""please I can't breathe"". A 46 year old man, how strong do you think he is, to resist 9 minutes of choking. He died before the medics arrived. He is in a good place now.",30.19,0.41,6.82,0.32,6.14,0.98
Omg,5.44,0.29,1.65,0.3,2.19,0.68
Wow,75.1,3.29,33.98,1.81,31.14,4.42
😭😭😭😭😭😭😭,8.66,0.75,3.0,0.76,3.78,1.46
"THEY JUST HELD HIM DOWN ON HIS NECK THEN THE NOOBS CALL THE AMBULANCE
WHY DID YOU DO THAT 
WHY
WHY",4.97,0.25,1.48,0.25,1.98,0.61
"Omg I felt so bad when he said please,please,please, I can’t breathe please man.😭😭😭 his voice",0.19,0.0,0.03,0.0,0.05,0.0
May he rest in peace,1.53,0.02,0.31,0.02,0.48,0.08
Come on guys... The guy says he can't breath don't they hear that 😭😭😭😭,11.51,0.79,3.56,0.66,4.36,1.38
He dint deserve it😭😭😭😭😭😭😭😭😭,8.81,0.76,3.05,0.78,3.82,1.48
R.I.P 🌼George Floyd🌼,97.25,6.15,77.83,2.41,63.66,6.83
Absolutely heart breaking... This Man was murdered by a ‘Protector’ of the people. This was a heinous crime. 😥😡,1.43,0.02,0.29,0.02,0.44,0.07
My heart is broken💔,7.49,0.55,2.48,0.56,3.18,1.13
"They Lied right there , There was audio from the  video they deleted it",0.13,0.0,0.01,0.0,0.03,0.0
An angel has to walk through hell to save all the daddies and mummies,24.45,0.38,5.74,0.32,4.75,0.82
✊🏿✊🏾✊🏽✊🏼✊🏻,8.66,0.75,3.0,0.76,3.78,1.46
"People say he's in a better place now. That may be true, but I know he didn't want to be there yet.",0.44,0.0,0.07,0.0,0.11,0.01
"I can't believe YT didn't take down the video, Floyd was still alive when ambulance took him!",1.69,0.03,0.41,0.03,0.61,0.11
Shawanda Renee Hill was not even allowed to spend the last moments with George Floyd...,5.27,0.29,1.65,0.3,2.17,0.68
R.I.P,97.25,6.15,77.83,2.41,63.66,6.83
😔,8.66,0.75,3.0,0.76,3.78,1.46
HE DIDN'T DIE AT THE HOSPITAL HE DIED ON SPOT! 😢😢😢,14.84,0.62,4.55,0.57,4.43,1.39
He didn't deserve to die FC them all,45.47,2.06,15.21,1.63,13.44,3.26
He died 2 days before my birthday that’s why I couldn’t go no where in corona ended,14.83,1.43,5.14,1.4,5.91,2.49
"Rest in peace
George Floyd",2.67,0.07,0.69,0.07,0.98,0.21
BLM!!!,8.53,0.74,2.97,0.75,3.77,1.46
"He was already in handcuffs, he was restrained! And kneeing on his neck? That’s well beyond excessive force! Police are responsible for the well-being of whoever they have in custody!

Bystanders would be arrested, charged, and imprisoned for trying to help the man, but what about the OTHER COPS? They just stood there. ",0.35,0.0,0.06,0.0,0.1,0.01
I think it's a hoax all of it stinks,7.51,0.58,2.51,0.58,3.24,1.2
George Floyd is dead. lol,1.39,0.02,0.28,0.02,0.44,0.06
He died the day after my birthday R.I.P floyd 😣👊✊👊✊👊👊,93.53,4.35,69.74,1.76,50.44,5.37
The ambulance came 20 mins after,4.04,0.16,1.13,0.16,1.55,0.43
"I think a men who kills a men the way this men did, should be put in death row. This guy was handcuffed and specifically saying ""please I can't breath""  . This is wrong wrong wrong.",5.19,0.08,1.24,0.07,1.22,0.24
George Floyd may you rest In peace,1.95,0.03,0.43,0.03,0.63,0.11
Who would do that its literally no point just keep your arm on him atleast,3.71,0.15,1.04,0.15,1.43,0.39
And how did you get these videos?!,4.85,0.25,1.45,0.24,1.94,0.59
What is going on in his head,20.11,0.51,5.06,0.4,5.45,0.99
"""I can't breathe""- George Floyd's last moments. May he rest in peace.",2.81,0.09,0.76,0.09,1.07,0.26
HOW ABOUT NOBODY WAS WEARING MASKS IN THE MIDST OF A PANDEMIC... PREVIOUSLY FILMED FAKERY,4.76,0.24,1.41,0.23,1.88,0.57
derek  remembered him when they was kids,4.42,0.19,1.28,0.2,1.74,0.5
That stream of liquid you see on the sidewalk is George Floyd's urine. It happens when a person is slowly and (in this case) deliberately strangled to death.,1.89,0.04,0.45,0.04,0.66,0.12
The cops are guilty,5.77,0.32,1.76,0.33,2.32,0.75
All this for a an alleged $20 counterfeit bill...a man’s life over this. 😡,4.34,0.17,1.2,0.17,1.63,0.42
Dia kenape si?,6.48,0.42,2.08,0.43,2.75,0.95
I have a warrant for his arrest and he resisted too get in the cop car,3.35,0.12,0.92,0.12,1.3,0.33
Oml ppl are sensitive,6.88,0.45,2.19,0.46,2.84,0.97
Omg,8.26,0.68,2.85,0.7,3.62,1.37
I’m in tears right now. He died begging to live.,4.65,0.24,1.41,0.24,1.95,0.62
Omg,5.72,0.32,1.77,0.33,2.32,0.73
"Every person that supports blm
 |",6.05,0.37,1.91,0.36,2.44,0.79
dammn,8.66,0.75,3.0,0.76,3.78,1.46
No lie in the beginning of the video he looked meth out his mind,36.12,1.08,11.5,0.93,9.01,2.16
He actually added more pressure. You can see him pressing down harder.,2.81,0.08,0.72,0.08,1.02,0.23
Not trynna mock George floyd But Try saying I cant breathe When you are being strangled. Good luck man.,5.88,0.22,1.64,0.23,2.07,0.58
"You hear it, 
""i can not breath""
The officers don't care, they wanted him DEAD, That is so sad it made me cry, His Family must have been crying their eyes out when they heard the news, If i was his family i would have hurt them.",0.38,0.0,0.06,0.0,0.11,0.01
Since when do active police cars licence plates just say POLICE?,19.14,0.79,5.36,0.7,5.78,1.59
Simpsons products the future,2.81,0.09,0.74,0.08,1.06,0.26
They kept sitting on his neck when he was unresponsive.  Man😔,5.93,0.35,1.85,0.36,2.42,0.79
Release the full body cam.  Exonerate the officers!,2.61,0.06,0.64,0.07,0.91,0.2
This is sad and unacceptable. My heart and prayers go out to his family. May God heal us all.,2.59,0.05,0.58,0.05,0.78,0.16
"4:45 YOU CAN ALREADY HEAR BY HIS VOICE THAT HE CANT BREATH, what in earth r these officers doing!?
:(",45.55,0.23,12.89,0.15,6.63,0.53
He gonna clutch in the gulag goerge dont choke twice,18.72,1.28,5.91,1.25,6.56,2.38
I hope that cop is having the worse time of his life right now,0.75,0.01,0.13,0.01,0.22,0.02
We are all the same ❤💙💚💛💜,4.88,0.23,1.42,0.23,1.91,0.56
WTF man! What where they thinking! 😱,1.43,0.02,0.3,0.02,0.46,0.07
Tries to intervene....literally just stands there.,1.07,0.01,0.22,0.01,0.34,0.05
Sreggin,8.66,0.75,3.0,0.76,3.78,1.46
"""Please, I can't breathe"" 
George Floyd's last words,
along with his last breaths.
Caused by police.",2.41,0.02,0.4,0.01,0.57,0.06
First of all why was the cop putting his knee on the back of his neck????,1.42,0.02,0.3,0.02,0.46,0.08
The paramedics look like cops to me,4.92,0.23,1.43,0.24,1.94,0.57
No kid should have to see this,4.83,0.27,1.49,0.25,2.01,0.59
He took the big L,3.31,0.11,0.89,0.11,1.24,0.3
"Police sees that hes unresponsive

CALLS AN AMBULANCE BUT DOESNT LET GO?!?",0.75,0.0,0.12,0.0,0.2,0.02
fiction,68.7,3.27,28.17,1.95,27.11,4.43
Yawn,8.6,0.74,2.99,0.75,3.78,1.45
Wow unbelievable im SPEECHLESS,67.54,2.49,25.5,1.65,21.68,4.09
რომ უღებდნენ დახმარებოდნენ მაინც😀,8.66,0.75,3.0,0.76,3.78,1.46
Damn the police officer had his hands in his pockets too. He was totally aware of what he was doing to him and was fine with it. Disgusting,0.34,0.0,0.05,0.0,0.09,0.01
😭 sick system,5.76,0.34,1.8,0.34,2.39,0.77
I only 10 still learning about it,3.69,0.15,1.07,0.15,1.46,0.39
He killed george floyd until he dies takes his body and puts him in his grave LIKE WHAT WAS ALL THIS FOR,2.11,0.06,0.56,0.05,0.82,0.17
why does the body cam footage date say may 26th when the incident happened the 25th?,0.29,0.0,0.04,0.0,0.08,0.01
